fortna_name,device_type,direction,fortna_bank,fortna_bit,module_data_ref,mapped,notes
"EZPE231A_F","photoeye","I","1006","11","T_1794_AENT_5:6:I.Data.9",Y,"alt=T_1794_AENT_5:I.Data[6].9; type=1794-IB16; word=1006; eip=1006"
"EZPE231A_P","photoeye","I","1006","12","T_1794_AENT_5:6:I.Data.10",Y,"alt=T_1794_AENT_5:I.Data[6].10; type=1794-IB16; word=1006; eip=1006"
"EZPE116_F","photoeye","I","107","0","T_1794_AENT_1:8:I.Data.0",Y,"alt=T_1794_AENT_1:I.Data[8].0; type=1794-IB16; word=107; eip=107"
"EZPE116_P","photoeye","I","420","0","T_1794_AENT_4:1:I.Data.0",Y,"alt=T_1794_AENT_4:I.Data[1].0; type=1794-IB16; word=420; eip=420"
"PE104_JF","photoeye","I","105","0","T_1794_AENT_1:6:I.Data.0",Y,"alt=T_1794_AENT_1:I.Data[6].0; type=1794-IA16; word=105; eip=105"
"PE108_JF","photoeye","I","105","1","T_1794_AENT_1:6:I.Data.1",Y,"alt=T_1794_AENT_1:I.Data[6].1; type=1794-IA16; word=105; eip=105"
"PE118_P","photoeye","I","422","0","T_1794_AENT_4:1:I.Data.0",Y,"alt=T_1794_AENT_4:I.Data[1].0; type=1794-IB16; word=422; eip=82; via=configio"
"EZPE209_F","photoeye","I","1006","2","T_1794_AENT_5:6:I.Data.2",Y,"alt=T_1794_AENT_5:I.Data[6].2; type=1794-IB16; word=1006; eip=1006"
"EZPE209_P","photoeye","I","1006","3","T_1794_AENT_5:6:I.Data.3",Y,"alt=T_1794_AENT_5:I.Data[6].3; type=1794-IB16; word=1006; eip=1006"
"EZPE212_F1","photoeye","I","107","1","T_1794_AENT_1:8:I.Data.1",Y,"alt=T_1794_AENT_1:I.Data[8].1; type=1794-IB16; word=107; eip=107"
"EZPE212_F2","photoeye","I","107","2","T_1794_AENT_1:8:I.Data.2",Y,"alt=T_1794_AENT_1:I.Data[8].2; type=1794-IB16; word=107; eip=107"
"EZPE212_P1","photoeye","I","107","4","T_1794_AENT_1:8:I.Data.4",Y,"alt=T_1794_AENT_1:I.Data[8].4; type=1794-IB16; word=107; eip=107"
"EZPE213_F","photoeye","I","1006","4","T_1794_AENT_5:6:I.Data.4",Y,"alt=T_1794_AENT_5:I.Data[6].4; type=1794-IB16; word=1006; eip=1006"
"EZPE213_P","photoeye","I","1006","5","T_1794_AENT_5:6:I.Data.5",Y,"alt=T_1794_AENT_5:I.Data[6].5; type=1794-IB16; word=1006; eip=1006"
"EZPE214_P","photoeye","I","420","1","T_1794_AENT_4:1:I.Data.1",Y,"alt=T_1794_AENT_4:I.Data[1].1; type=1794-IB16; word=420; eip=420"
"EZPE217_F","photoeye","I","1006","6","T_1794_AENT_5:6:I.Data.6",Y,"alt=T_1794_AENT_5:I.Data[6].6; type=1794-IB16; word=1006; eip=1006"
"EZPE217_P","photoeye","I","1006","7","T_1794_AENT_5:6:I.Data.7",Y,"alt=T_1794_AENT_5:I.Data[6].7; type=1794-IB16; word=1006; eip=1006"
"EZPE229_P","photoeye","I","1006","10","T_1794_AENT_5:6:I.Data.8",Y,"alt=T_1794_AENT_5:I.Data[6].8; type=1794-IB16; word=1006; eip=1006"
"PE204_JF","photoeye","I","105","2","T_1794_AENT_1:6:I.Data.2",Y,"alt=T_1794_AENT_1:I.Data[6].2; type=1794-IA16; word=105; eip=105"
"PE208_JF","photoeye","I","105","3","T_1794_AENT_1:6:I.Data.3",Y,"alt=T_1794_AENT_1:I.Data[6].3; type=1794-IA16; word=105; eip=105"
"PE210A_JF","photoeye","I","1002","12","T_1794_AENT_1:6:I.Data.2",Y,"alt=T_1794_AENT_1:I.Data[6].2; type=1794-IA16; word=1002; eip=105; via=configio"
"PE215_J","photoeye","I","1002","13","T_1794_AENT_1:6:I.Data.3",Y,"alt=T_1794_AENT_1:I.Data[6].3; type=1794-IA16; word=1002; eip=105; via=configio"
"PE216_P","photoeye","I","422","1","T_1794_AENT_4:1:I.Data.1",Y,"alt=T_1794_AENT_4:I.Data[1].1; type=1794-IB16; word=422; eip=82; via=configio"
"PE219A_J","photoeye","I","1002","14","T_1794_AENT_1:6:I.Data.4",Y,"alt=T_1794_AENT_1:I.Data[6].4; type=1794-IA16; word=1002; eip=105; via=configio"
"PE219_P","photoeye","I","1006","0","T_1794_AENT_5:6:I.Data.0",Y,"alt=T_1794_AENT_5:I.Data[6].0; type=1794-IB16; word=1006; eip=1006"
"EZPE304_F","photoeye","I","107","3","T_1794_AENT_1:8:I.Data.3",Y,"alt=T_1794_AENT_1:I.Data[8].3; type=1794-IB16; word=107; eip=107"
"EZPE304_P","photoeye","I","107","5","T_1794_AENT_1:8:I.Data.5",Y,"alt=T_1794_AENT_1:I.Data[8].5; type=1794-IB16; word=107; eip=107"
