"Shifter"~"Data"~"Divert Normal"~"Divert Missing"~"Divert Not Expected"~"End Missing"~"End Not Expected"~"Gap Abort"~"Index"~"Menu"~"OutpointIndx"~"SrtZoneIndx"
Invalid~ ~0~0~0~0~0~0~0~None~0~0~
PACK SORTER~N0435~0~5~0~0~0~0~81~SrtTrack2~28~0~
PACK SORTER~N0052~0~5~0~0~0~0~1~SrtTrack2~28~0~
PACK SORTER~E1142~0~17~0~0~0~0~97~SrtTrack2~46~0~
PACK SORTER~!No Read~0~7~0~0~0~0~82~SrtTrack2~31~0~
PACK SORTER~G1981~0~5~0~0~0~0~99~SrtTrack2~28~0~
PACK SORTER~!No Read~0~7~0~0~0~0~84~SrtTrack2~31~0~
PACK SORTER~B3727~0~17~0~0~0~0~98~SrtTrack2~46~0~
PACK SORTER~B3284~0~17~0~0~0~0~2~SrtTrack2~46~0~
PACK SORTER~B0422~0~5~0~0~0~0~3~SrtTrack2~28~0~
PACK SORTER~G0183~0~17~0~0~0~0~83~SrtTrack2~46~0~
PACK SORTER~?????~0~5~0~0~0~0~4~SrtTrack2~28~0~
PACK SORTER~N0608~5~0~0~0~0~0~6~SrtTrack2~28~0~
PACK SORTER~B2075~0~5~0~0~0~0~10~SrtTrack2~28~0~
PACK SORTER~B2505~0~5~0~0~0~0~11~SrtTrack2~28~0~
PACK SORTER~B3506~0~17~0~0~0~0~5~SrtTrack2~46~0~
PACK SORTER~R0203~0~5~0~0~0~0~12~SrtTrack2~28~0~
PACK SORTER~B0654~0~17~0~0~0~0~7~SrtTrack2~46~0~
PACK SORTER~B0239~0~17~0~0~0~0~8~SrtTrack2~46~0~
PACK SORTER~B3347~0~17~0~0~0~0~9~SrtTrack2~46~0~
PACK SORTER~H0800~5~0~0~0~0~0~18~SrtTrack2~28~0~
PACK SORTER~B0169~0~17~0~0~0~0~13~SrtTrack2~46~0~
PACK SORTER~B1192~0~17~0~0~0~0~14~SrtTrack2~46~0~
PACK SORTER~B3731~0~17~0~0~0~0~15~SrtTrack2~46~0~
PACK SORTER~N0087~5~0~0~0~0~0~22~SrtTrack2~28~0~
PACK SORTER~B3777~0~17~0~0~0~0~16~SrtTrack2~46~0~
PACK SORTER~B0799~0~17~0~0~0~0~17~SrtTrack2~46~0~
PACK SORTER~B3322~0~17~0~0~0~0~19~SrtTrack2~46~0~
PACK SORTER~N0368~0~5~0~0~0~0~24~SrtTrack2~28~0~
PACK SORTER~B1249~0~17~0~0~0~0~20~SrtTrack2~46~0~
PACK SORTER~B3730~0~17~0~0~0~0~21~SrtTrack2~46~0~
PACK SORTER~N0671~0~5~0~0~0~0~85~SrtTrack2~28~0~
PACK SORTER~B3747~0~17~0~0~0~0~23~SrtTrack2~46~0~
PACK SORTER~H0513~0~5~0~0~0~0~26~SrtTrack2~28~0~
