"View_Name"~"Left"~"Right"~"Bottom"~"Top"~"Layer_Set"~"BackGround_Color"
ALL~   40871.025~   40871.025~   40871.025~    8313.319~0~BLACK~
 ~       0.000~       0.000~       0.000~       0.000~0~BLACK~
 ~       0.000~       0.000~       0.000~       0.000~0~BLACK~
 ~       0.000~       0.000~       0.000~       0.000~0~BLACK~
 ~       0.000~       0.000~       0.000~       0.000~0~BLACK~
 ~       0.000~       0.000~       0.000~       0.000~0~BLACK~
 ~       0.000~       0.000~       0.000~       0.000~0~BLACK~
 ~       0.000~       0.000~       0.000~       0.000~0~BLACK~
 ~       0.000~       0.000~       0.000~       0.000~0~BLACK~
 ~       0.000~       0.000~       0.000~       0.000~0~BLACK~
 ~       0.000~       0.000~       0.000~       0.000~0~BLACK~
 ~       0.000~       0.000~       0.000~       0.000~0~BLACK~
 ~       0.000~       0.000~       0.000~       0.000~0~BLACK~
 ~       0.000~       0.000~       0.000~       0.000~0~BLACK~
 ~       0.000~       0.000~       0.000~       0.000~0~BLACK~
 ~       0.000~       0.000~       0.000~       0.000~0~BLACK~
 ~       0.000~       0.000~       0.000~       0.000~0~BLACK~
 ~       0.000~       0.000~       0.000~       0.000~0~BLACK~
 ~       0.000~       0.000~       0.000~       0.000~0~BLACK~
 ~       0.000~       0.000~       0.000~       0.000~0~BLACK~
 ~       0.000~       0.000~       0.000~       0.000~0~BLACK~
 ~       0.000~       0.000~       0.000~       0.000~0~BLACK~
 ~       0.000~       0.000~       0.000~       0.000~0~BLACK~
 ~       0.000~       0.000~       0.000~       0.000~0~BLACK~
 ~       0.000~       0.000~       0.000~       0.000~0~BLACK~
 ~       0.000~       0.000~       0.000~       0.000~0~BLACK~
 ~       0.000~       0.000~       0.000~       0.000~0~BLACK~
 ~       0.000~       0.000~       0.000~       0.000~0~BLACK~
 ~       0.000~       0.000~       0.000~       0.000~0~BLACK~
 ~       0.000~       0.000~       0.000~       0.000~0~BLACK~
 ~       0.000~       0.000~       0.000~       0.000~0~BLACK~
 ~       0.000~       0.000~       0.000~       0.000~0~BLACK~
 ~       0.000~       0.000~       0.000~       0.000~0~BLACK~
 ~       0.000~       0.000~       0.000~       0.000~0~BLACK~
 ~       0.000~       0.000~       0.000~       0.000~0~BLACK~
 ~       0.000~       0.000~       0.000~       0.000~0~BLACK~
 ~       0.000~       0.000~       0.000~       0.000~0~BLACK~
 ~       0.000~       0.000~       0.000~       0.000~0~BLACK~
 ~       0.000~       0.000~       0.000~       0.000~0~BLACK~
 ~       0.000~       0.000~       0.000~       0.000~0~BLACK~
 ~       0.000~       0.000~       0.000~       0.000~0~BLACK~
 ~       0.000~       0.000~       0.000~       0.000~0~BLACK~
 ~       0.000~       0.000~       0.000~       0.000~0~BLACK~
 ~       0.000~       0.000~       0.000~       0.000~0~BLACK~
 ~       0.000~       0.000~       0.000~       0.000~0~BLACK~
 ~       0.000~       0.000~       0.000~       0.000~0~BLACK~
 ~       0.000~       0.000~       0.000~       0.000~0~BLACK~
 ~       0.000~       0.000~       0.000~       0.000~0~BLACK~
 ~       0.000~       0.000~       0.000~       0.000~0~BLACK~
 ~       0.000~       0.000~       0.000~       0.000~0~BLACK~
 ~       0.000~       0.000~       0.000~       0.000~0~BLACK~
 ~       0.000~       0.000~       0.000~       0.000~0~BLACK~
 ~       0.000~       0.000~       0.000~       0.000~0~BLACK~
 ~       0.000~       0.000~       0.000~       0.000~0~BLACK~
 ~       0.000~       0.000~       0.000~       0.000~0~BLACK~
 ~       0.000~       0.000~       0.000~       0.000~0~BLACK~
 ~       0.000~       0.000~       0.000~       0.000~0~BLACK~
 ~       0.000~       0.000~       0.000~       0.000~0~BLACK~
 ~       0.000~       0.000~       0.000~       0.000~0~BLACK~
 ~       0.000~       0.000~       0.000~       0.000~0~BLACK~


