"Timer_Name"~"Timer_Address"~"General_Description"~"Invert"~"Start"~"Timing"~"Keep"~"Done"~"Retentative"~"Reset_Bit"~"Preset_Value"~"Accumulated"~"Retained"~"Start_Time"~"Owner"~"Changed"
N/A~0~ ~N~Y~N~N~N~N~Y~       0.000~       0.000~       0.000~0~MSCRENOPACK~Y~
tmNEVERON~1~ ~N~N~N~N~N~N~N~       5.000~       0.000~       0.000~0~N/A~N~
tmALWAYSON~2~ ~N~N~N~N~Y~Y~N~       1.000~       1.010~       1.010~0~N/A~N~
twatchdog~3~ ~N~Y~Y~N~Y~Y~N~      10.000~      10.000~      10.000~0~N/A~N~
tmWARNINGHORN~4~ ~N~N~N~N~N~Y~N~       5.000~       0.000~       0.000~0~N/A~N~
tmM57_AUX~5~ ~N~N~N~N~N~N~N~       1.000~       0.000~       0.000~0~N/A~N~
tmM119_AUX~6~ ~N~Y~Y~N~Y~N~N~       1.000~       1.005~       0.000~0~MSCRENOPICK~N~
tmM120_AUX~7~ ~N~N~N~N~N~N~N~       1.000~       0.000~       0.000~0~MSCRENOPICK~N~
tmM18_AUX~8~ ~N~N~N~N~N~N~N~       1.000~       0.000~       0.000~0~N/A~N~
tmM17_AUX~9~ ~N~N~N~N~N~N~N~       1.000~       0.000~       0.000~0~N/A~N~
tmM15_AUX~10~ ~N~N~N~N~N~N~N~       1.000~       0.000~       0.000~0~MSCRENOPICK~N~
tmM71_AUX~11~ ~N~Y~Y~N~Y~N~N~       1.000~       1.005~       0.000~0~MSCRENOPICK~N~
tmM2_AUX~12~ ~N~N~N~N~N~N~N~       1.000~       0.000~       0.000~0~N/A~N~
tmM4_AUX~13~ ~N~N~N~N~N~N~N~       1.000~       0.000~       0.000~0~N/A~N~
tmM1_AUX~14~ ~N~N~N~N~N~N~N~       1.000~       0.000~       0.000~0~N/A~N~
tmM104_AUX~15~ ~N~N~N~N~N~N~N~       1.000~       0.000~       0.000~0~N/A~N~
tmM127_AUX~16~ ~N~N~N~N~N~N~N~       1.000~       0.000~       0.000~0~N/A~N~
tmM103_AUX~17~ ~N~Y~Y~N~Y~N~N~       1.000~       1.005~       0.000~0~MSCRENOPICK~N~
tmM102_AUX~18~ ~N~Y~Y~N~Y~N~N~       1.000~       1.005~       0.000~0~MSCRENOPICK~N~
tmM60_AUX~19~ ~N~N~N~N~N~N~N~       1.000~       0.000~       0.000~0~N/A~N~
tmM59_AUX~20~ ~N~Y~Y~N~Y~N~N~       1.000~       1.005~       0.000~0~MSCRENOPICK~N~
tmM58_AUX~21~ ~N~N~N~N~N~N~N~       1.000~       0.000~       0.000~0~N/A~N~
tmM129_AUX~22~ ~N~Y~Y~N~Y~N~N~       1.000~       1.005~       0.000~0~MSCRENOPICK~N~
tmM122_AUX~23~ ~N~N~N~N~N~N~N~       1.000~       0.000~       0.000~0~N/A~N~
tmCP4_ACCUM_LATCH~24~ ~N~N~N~N~N~N~N~       1.000~       0.000~       0.000~0~MSCRENOPACK~N~
tmCP3_ACCUM_LATCH~25~ ~N~Y~Y~N~Y~N~N~       1.000~       1.005~       0.000~0~MSCRENOPACK~N~
tmM98_AUX~26~ ~N~N~N~N~N~N~N~       1.000~       0.000~       0.000~0~MSCRENOPACK~N~
tmM97_AUX~27~ ~N~N~N~N~N~N~N~       1.000~       0.000~       0.000~0~N/A~N~
tmM96_AUX~28~ ~N~N~N~N~N~N~N~       1.000~       0.000~       0.000~0~MSCRENOPACK~N~
tmM95_AUX~29~ ~N~N~N~N~N~N~N~       1.000~       0.000~       0.000~0~N/A~N~
tmM94_AUX~30~ ~N~N~N~N~N~N~N~       1.000~       0.000~       0.000~0~MSCRENOPACK~N~
tmM93_AUX~31~ ~N~N~N~N~N~N~N~       1.000~       0.000~       0.000~0~N/A~N~
tmM92_AUX~32~ ~N~N~N~N~N~N~N~       1.000~       0.000~       0.000~0~MSCRENOPACK~N~
tmM91_AUX~33~ ~N~N~N~N~N~N~N~       1.000~       0.000~       0.000~0~N/A~N~
tmM90_AUX~34~ ~N~N~N~N~N~N~N~       1.000~       0.000~       0.000~0~MSCRENOPACK~N~
tmM89_AUX~35~ ~N~N~N~N~N~N~N~       1.000~       0.000~       0.000~0~N/A~N~
tmM88_AUX~36~ ~N~N~N~N~N~N~N~       1.000~       0.000~       0.000~0~MSCRENOPACK~N~
tmM87_AUX~37~ ~N~N~N~N~N~N~N~       1.000~       0.000~       0.000~0~N/A~N~
tmM86_AUX~38~ ~N~N~N~N~N~N~N~       1.000~       0.000~       0.000~0~MSCRENOPACK~N~
tmM85_AUX~39~ ~N~N~N~N~N~N~N~       1.000~       0.000~       0.000~0~N/A~N~
tmM84_AUX~40~ ~N~N~N~N~N~N~N~       1.000~       0.000~       0.000~0~MSCRENOPACK~N~
