"Description"~"Suggestion"~"Time"~"Duration"~"Severity"~"LinkPart"
PES1-1_F~FULL REMOVE CARTONS~19:14~40.3 hrs~WARNING~PES1-1_F~
 ~ ~ ~ ~INVALID~INVALID~
 ~ ~ ~ ~INVALID~INVALID~
 ~ ~ ~ ~INVALID~INVALID~
 ~ ~ ~ ~INVALID~INVALID~
 ~ ~ ~ ~INVALID~INVALID~
 ~ ~ ~ ~INVALID~INVALID~
 ~ ~ ~ ~INVALID~INVALID~
 ~ ~ ~ ~INVALID~INVALID~
 ~ ~ ~ ~INVALID~INVALID~
 ~ ~ ~ ~INVALID~INVALID~
 ~ ~ ~ ~INVALID~INVALID~
 ~ ~ ~ ~INVALID~INVALID~
 ~ ~ ~ ~INVALID~INVALID~
 ~ ~ ~ ~INVALID~INVALID~
 ~ ~ ~ ~INVALID~INVALID~
 ~ ~ ~ ~INVALID~INVALID~
 ~ ~ ~ ~INVALID~INVALID~
 ~ ~ ~ ~INVALID~INVALID~
 ~ ~ ~ ~INVALID~INVALID~
 ~ ~ ~ ~INVALID~INVALID~
 ~ ~ ~ ~INVALID~INVALID~
 ~ ~ ~ ~INVALID~INVALID~
 ~ ~ ~ ~INVALID~INVALID~
 ~ ~ ~ ~INVALID~INVALID~
 ~ ~ ~ ~INVALID~INVALID~
 ~ ~ ~ ~INVALID~INVALID~
 ~ ~ ~ ~INVALID~INVALID~
 ~ ~ ~ ~INVALID~INVALID~
 ~ ~ ~ ~INVALID~INVALID~
 ~ ~ ~ ~INVALID~INVALID~
 ~ ~ ~ ~INVALID~INVALID~
 ~ ~ ~ ~INVALID~INVALID~
 ~ ~ ~ ~INVALID~INVALID~
 ~ ~ ~ ~INVALID~INVALID~
 ~ ~ ~ ~INVALID~INVALID~
 ~ ~ ~ ~INVALID~INVALID~
 ~ ~ ~ ~INVALID~INVALID~
 ~ ~ ~ ~INVALID~INVALID~
 ~ ~ ~ ~INVALID~INVALID~
 ~ ~ ~ ~INVALID~INVALID~
 ~ ~ ~ ~INVALID~INVALID~
 ~ ~ ~ ~INVALID~INVALID~
 ~ ~ ~ ~INVALID~INVALID~
 ~ ~ ~ ~INVALID~INVALID~
 ~ ~ ~ ~INVALID~INVALID~
 ~ ~ ~ ~INVALID~INVALID~
 ~ ~ ~ ~INVALID~INVALID~
 ~ ~ ~ ~INVALID~INVALID~
