"Key Name"~"Action Type"~"Proc Name"~"Menu Name"~"Proc Restriction"~"Menu Restriction"~"View Name"
ALTF7~GOPROC~Move Menus~None~ ~None~The whole system~
ESCAPE~DOPROC~Go Back~None~ ~None~The whole system~
F3~GOPROC~View PLC I/O~None~ ~None~The whole system~
F1~GOPROC~Help Menu~None~ ~None~The whole system~
F10~GOPROC~Display Errors~None~ ~None~The whole system~
ALTHOME~DOPROC~Go Way Back~None~ ~None~The whole system~
HT~DOPROC~ ~None~ ~None~The whole system~
ALTF5~DOPROC~Log Out~None~ ~None~The whole system~
CTRLF10~GOPROC~Exit Program~None~ ~None~The whole system~
CTRLF5~GOPROC~Display Shift~None~ ~None~The whole system~
ALT_H~GOMENU~ ~HouseKeep~ ~None~The whole system~
F4~GOMENU~ ~scanstat~ ~None~The whole system~
ALT_K~GOMENU~ ~KeyStrokes~ ~None~The whole system~
ALT_I~GOMENU~ ~None~ ~None~The whole system~
ALT_J~GOMENU~ ~Jamzones~ ~None~The whole system~
F2~GOMENU~ ~MenuMenu~ ~None~The whole system~
ALT_B~GOMENU~ ~Batches~ ~None~The whole system~
ALT_M~GOPROC~Map Edit~None~ ~None~The whole system~
ALT_E~DOPROC~ ~None~ ~None~The whole system~
ALT_P~GOMENU~ ~None~ ~None~The whole system~
N/A~N/A~ ~None~ ~None~The whole system~
N/A~N/A~ ~None~ ~None~The whole system~
N/A~N/A~ ~None~ ~None~The whole system~
N/A~N/A~ ~None~ ~None~The whole system~
N/A~N/A~ ~None~ ~None~The whole system~
N/A~N/A~ ~None~ ~None~The whole system~
N/A~N/A~ ~None~ ~None~The whole system~
N/A~N/A~ ~None~ ~None~The whole system~
N/A~N/A~ ~None~ ~None~The whole system~
N/A~N/A~ ~None~ ~None~The whole system~
N/A~N/A~ ~None~ ~None~The whole system~
N/A~N/A~ ~None~ ~None~The whole system~
N/A~N/A~ ~None~ ~None~The whole system~
N/A~N/A~ ~None~ ~None~The whole system~
N/A~N/A~ ~None~ ~None~The whole system~
N/A~N/A~ ~None~ ~None~The whole system~
N/A~N/A~ ~None~ ~None~The whole system~
N/A~N/A~ ~None~ ~None~The whole system~
N/A~N/A~ ~None~ ~None~The whole system~
N/A~N/A~ ~None~ ~None~The whole system~
N/A~N/A~ ~None~ ~None~The whole system~
N/A~N/A~ ~None~ ~None~The whole system~
N/A~N/A~ ~None~ ~None~The whole system~
N/A~N/A~ ~None~ ~None~The whole system~
N/A~N/A~ ~None~ ~None~The whole system~
N/A~N/A~ ~None~ ~None~The whole system~
N/A~N/A~ ~None~ ~None~The whole system~
N/A~N/A~ ~None~ ~None~The whole system~
N/A~N/A~ ~None~ ~None~The whole system~
N/A~N/A~ ~None~ ~None~The whole system~


