"Name"~"TrkIndx"~"Scan"~"ScanSts"~"ScanType"~"ScanZone"~"TimeStamp"
N/A~0~ ~N/A~N/A~N/A~0~
R1~65~B0280~Good Scan~Scan~N/A~1453049002~
R2~66~B0281~Good Scan~Scan~N/A~1453049006~
R3~67~B0279~Good Scan~Scan~N/A~1453049009~
R4~68~B0230~Good Scan~Scan~N/A~1453050018~
R5~69~B0229~Good Scan~Scan~N/A~1453050022~
R6~70~B0227~Good Scan~Scan~N/A~1453050049~
R7~79~B0304~Good Scan~Scan~N/A~1453050242~
R8~80~B0303~Good Scan~Scan~N/A~1453050245~
R9~81~B0302~Good Scan~Scan~N/A~1453050249~
R10~82~B0301~Good Scan~Scan~N/A~1453050252~
R11~83~B0300~Good Scan~Scan~N/A~1453050256~
R12~84~B0230~Good Scan~Scan~N/A~1453050486~
R13~86~B0229~Good Scan~Scan~N/A~1453050766~
R14~87~B0286~Good Scan~Scan~N/A~1453050769~
R15~88~B0226~Good Scan~Scan~N/A~1453050773~
R16~89~B0225~Good Scan~Scan~N/A~1453050776~
R17~90~B0284~Good Scan~Scan~N/A~1453050780~
R18~91~B0306~Good Scan~Scan~N/A~1453050783~
R19~93~B0305~Good Scan~Scan~N/A~1453050790~
R20~94~B0285~Good Scan~Scan~N/A~1453050794~
R21~95~B0304~Good Scan~Scan~N/A~1453050797~
R22~96~B0303~Good Scan~Scan~N/A~1453050801~
R23~97~B0302~Good Scan~Scan~N/A~1453050804~
R24~98~B0301~Good Scan~Scan~N/A~1453050808~
R25~2~B0227~Good Scan~Scan~N/A~1453051173~
R26~3~B0229~Good Scan~Scan~N/A~1453051178~
R27~4~B0286~Good Scan~Scan~N/A~1453051182~
R28~5~B0226~Good Scan~Scan~N/A~1453051185~
R29~6~B0225~Good Scan~Scan~N/A~1453051188~
R30~7~B0284~Good Scan~Scan~N/A~1453051191~
R31~16~B0300~Good Scan~Scan~N/A~1453051248~
R32~17~B0409~Good Scan~Scan~N/A~1453051278~
R33~18~B0227~Good Scan~Scan~N/A~1453051585~
R34~19~B0407~Good Scan~Scan~N/A~1453051684~
R35~20~B0408~Good Scan~Scan~N/A~1453051688~
R36~21~B0210~Good Scan~Scan~N/A~1453051748~
R37~23~B0232~Good Scan~Scan~N/A~1453051754~
R38~24~B0233~Good Scan~Scan~N/A~1453051758~
R39~25~B0234~Good Scan~Scan~N/A~1453051761~
R40~26~B0235~Good Scan~Scan~N/A~1453051765~
R41~27~B0209~Good Scan~Scan~N/A~1453051784~
R42~28~B0208~Good Scan~Scan~N/A~1453051788~
R43~29~B0236~Good Scan~Scan~N/A~1453051791~
R44~30~B0407~Good Scan~Scan~N/A~1453052094~
R45~31~B0408~Good Scan~Scan~N/A~1453052097~
R46~32~B0210~Good Scan~Scan~N/A~1453052160~
R47~33~B0211~Good Scan~Scan~N/A~1453052164~
R48~34~B0232~Good Scan~Scan~N/A~1453052166~
R49~37~ ~No Scan~Scan~N/A~1453052177~
R50~38~B0209~Good Scan~Scan~N/A~1453052196~
R51~39~B0208~Good Scan~Scan~N/A~1453052200~
=====>>>>~40~B0236~Good Scan~Scan~N/A~1453052203~
R53~41~B0230~Good Scan~Scan~N/A~1453048919~
R54~42~B0229~Good Scan~Scan~N/A~1453048922~
R55~44~B0227~Good Scan~Scan~N/A~1453048929~
R56~45~B0226~Good Scan~Scan~N/A~1453048933~
R57~46~B0225~Good Scan~Scan~N/A~1453048936~
R58~47~B0286~Good Scan~Scan~N/A~1453048940~
R59~48~B0285~Good Scan~Scan~N/A~1453048943~
R60~49~B0284~Good Scan~Scan~N/A~1453048947~
R61~51~B0306~Good Scan~Scan~N/A~1453048954~
R62~52~B0305~Good Scan~Scan~N/A~1453048957~
R63~53~B0304~Good Scan~Scan~N/A~1453048960~
R64~54~B0303~Good Scan~Scan~N/A~1453048964~
R65~55~B0302~Good Scan~Scan~N/A~1453048967~
R66~56~B0301~Good Scan~Scan~N/A~1453048971~
R67~58~B0299~Good Scan~Scan~N/A~1453048978~
R68~59~B0298~Good Scan~Scan~N/A~1453048981~
R69~60~B0297~Good Scan~Scan~N/A~1453048985~
R70~61~B0295~Good Scan~Scan~N/A~1453048988~
R71~62~B0296~Good Scan~Scan~N/A~1453048992~
R72~63~B0282~Good Scan~Scan~N/A~1453048995~
R73~71~B0286~Good Scan~Scan~N/A~1453050053~
R74~72~B0285~Good Scan~Scan~N/A~1453050057~
R75~73~B0226~Good Scan~Scan~N/A~1453050062~
R76~74~B0225~Good Scan~Scan~N/A~1453050079~
R77~75~B0284~Good Scan~Scan~N/A~1453050083~
R78~76~B0306~Good Scan~Scan~N/A~1453050087~
R79~9~B0283~Good Scan~Scan~N/A~1453051198~
R80~10~B0305~Good Scan~Scan~N/A~1453051202~
R81~11~B0285~Good Scan~Scan~N/A~1453051205~
R82~12~B0304~Good Scan~Scan~N/A~1453051208~
R83~13~B0303~Good Scan~Scan~N/A~1453051211~
R84~14~B0302~Good Scan~Scan~N/A~1453051215~
R85~15~B0301~Good Scan~Scan~N/A~1453051218~
R86~35~B0233~Good Scan~Scan~N/A~1453052170~
R87~36~B0234~Good Scan~Scan~N/A~1453052173~
R88~43~B0228~Good Scan~Scan~N/A~1453048926~
R89~50~B0283~Good Scan~Scan~N/A~1453048950~
R90~57~B0300~Good Scan~Scan~N/A~1453048974~
R91~64~B0294~Good Scan~Scan~N/A~1453048999~
R92~77~B0283~Good Scan~Scan~N/A~1453050091~
R93~78~B0305~Good Scan~Scan~N/A~1453050220~
