"View_Name"~"Left"~"Right"~"Bottom"~"Top"~"Layer_Set"~"BackGround_Color"
ALL~   24132.292~   24132.292~   24132.292~   25972.917~0~BLACK~
 ~       0.000~       0.000~       0.000~       0.000~0~BLACK~
 ~       0.000~       0.000~       0.000~       0.000~0~BLACK~
 ~       0.000~       0.000~       0.000~       0.000~0~BLACK~
 ~       0.000~       0.000~       0.000~       0.000~0~BLACK~
 ~       0.000~       0.000~       0.000~       0.000~0~BLACK~
 ~       0.000~       0.000~       0.000~       0.000~0~BLACK~
 ~       0.000~       0.000~       0.000~       0.000~0~BLACK~
 ~       0.000~       0.000~       0.000~       0.000~0~BLACK~
 ~       0.000~       0.000~       0.000~       0.000~0~BLACK~
 ~       0.000~       0.000~       0.000~       0.000~0~BLACK~
 ~       0.000~       0.000~       0.000~       0.000~0~BLACK~
 ~       0.000~       0.000~       0.000~       0.000~0~BLACK~
 ~       0.000~       0.000~       0.000~       0.000~0~BLACK~
 ~       0.000~       0.000~       0.000~       0.000~0~BLACK~
 ~       0.000~       0.000~       0.000~       0.000~0~BLACK~
 ~       0.000~       0.000~       0.000~       0.000~0~BLACK~
 ~       0.000~       0.000~       0.000~       0.000~0~BLACK~
 ~       0.000~       0.000~       0.000~       0.000~0~BLACK~
 ~       0.000~       0.000~       0.000~       0.000~0~BLACK~
 ~       0.000~       0.000~       0.000~       0.000~0~BLACK~
 ~       0.000~       0.000~       0.000~       0.000~0~BLACK~
 ~       0.000~       0.000~       0.000~       0.000~0~BLACK~
 ~       0.000~       0.000~       0.000~       0.000~0~BLACK~
 ~       0.000~       0.000~       0.000~       0.000~0~BLACK~
 ~       0.000~       0.000~       0.000~       0.000~0~BLACK~
 ~       0.000~       0.000~       0.000~       0.000~0~BLACK~
 ~       0.000~       0.000~       0.000~       0.000~0~BLACK~
 ~       0.000~       0.000~       0.000~       0.000~0~BLACK~
 ~       0.000~       0.000~       0.000~       0.000~0~BLACK~
 ~       0.000~       0.000~       0.000~       0.000~0~BLACK~
 ~       0.000~       0.000~       0.000~       0.000~0~BLACK~
 ~       0.000~       0.000~       0.000~       0.000~0~BLACK~
 ~       0.000~       0.000~       0.000~       0.000~0~BLACK~
 ~       0.000~       0.000~       0.000~       0.000~0~BLACK~
 ~       0.000~       0.000~       0.000~       0.000~0~BLACK~
 ~       0.000~       0.000~       0.000~       0.000~0~BLACK~
 ~       0.000~       0.000~       0.000~       0.000~0~BLACK~
 ~       0.000~       0.000~       0.000~       0.000~0~BLACK~
 ~       0.000~       0.000~       0.000~       0.000~0~BLACK~
 ~       0.000~       0.000~       0.000~       0.000~0~BLACK~
 ~       0.000~       0.000~       0.000~       0.000~0~BLACK~
 ~       0.000~       0.000~       0.000~       0.000~0~BLACK~
 ~       0.000~       0.000~       0.000~       0.000~0~BLACK~
 ~       0.000~       0.000~       0.000~       0.000~0~BLACK~
 ~       0.000~       0.000~       0.000~       0.000~0~BLACK~
 ~       0.000~       0.000~       0.000~       0.000~0~BLACK~
 ~       0.000~       0.000~       0.000~       0.000~0~BLACK~
 ~       0.000~       0.000~       0.000~       0.000~0~BLACK~
 ~       0.000~       0.000~       0.000~       0.000~0~BLACK~
 ~       0.000~       0.000~       0.000~       0.000~0~BLACK~
 ~       0.000~       0.000~       0.000~       0.000~0~BLACK~
 ~       0.000~       0.000~       0.000~       0.000~0~BLACK~
 ~       0.000~       0.000~       0.000~       0.000~0~BLACK~
 ~       0.000~       0.000~       0.000~       0.000~0~BLACK~
 ~       0.000~       0.000~       0.000~       0.000~0~BLACK~
 ~       0.000~       0.000~       0.000~       0.000~0~BLACK~
 ~       0.000~       0.000~       0.000~       0.000~0~BLACK~
 ~       0.000~       0.000~       0.000~       0.000~0~BLACK~
 ~       0.000~       0.000~       0.000~       0.000~0~BLACK~


