"Name"~"HostBcnName"~"BeaconOutput"~"DefaultPattern"~"pCurPattern"~"pCurPriority"
n/a~ ~INVALID~n/a~n/a~0~
SHIP JAM HORN~ ~10WH~Off~Off~9999~
 ~ ~INVALID~n/a~n/a~9999~
 ~ ~INVALID~n/a~n/a~9999~
 ~ ~INVALID~n/a~n/a~9999~
 ~ ~INVALID~n/a~n/a~9999~
 ~ ~INVALID~n/a~n/a~9999~
 ~ ~INVALID~n/a~n/a~9999~
 ~ ~INVALID~n/a~n/a~9999~
 ~ ~INVALID~n/a~n/a~9999~
 ~ ~INVALID~n/a~n/a~9999~
 ~ ~INVALID~n/a~n/a~9999~
 ~ ~INVALID~n/a~n/a~9999~
 ~ ~INVALID~n/a~n/a~9999~
 ~ ~INVALID~n/a~n/a~9999~
 ~ ~INVALID~n/a~n/a~9999~
 ~ ~INVALID~n/a~n/a~9999~
 ~ ~INVALID~n/a~n/a~9999~
 ~ ~INVALID~n/a~n/a~9999~
 ~ ~INVALID~n/a~n/a~9999~
 ~ ~INVALID~n/a~n/a~9999~
 ~ ~INVALID~n/a~n/a~9999~
 ~ ~INVALID~n/a~n/a~9999~
 ~ ~INVALID~n/a~n/a~9999~
 ~ ~INVALID~n/a~n/a~9999~
 ~ ~INVALID~n/a~n/a~9999~
 ~ ~INVALID~n/a~n/a~9999~
 ~ ~INVALID~n/a~n/a~9999~
 ~ ~INVALID~n/a~n/a~9999~
 ~ ~INVALID~n/a~n/a~9999~
 ~ ~INVALID~n/a~n/a~9999~
 ~ ~INVALID~n/a~n/a~9999~
 ~ ~INVALID~n/a~n/a~9999~
 ~ ~INVALID~n/a~n/a~9999~
 ~ ~INVALID~n/a~n/a~9999~
 ~ ~INVALID~n/a~n/a~9999~
 ~ ~INVALID~n/a~n/a~9999~
 ~ ~INVALID~n/a~n/a~9999~
 ~ ~INVALID~n/a~n/a~9999~
 ~ ~INVALID~n/a~n/a~9999~
 ~ ~INVALID~n/a~n/a~9999~
 ~ ~INVALID~n/a~n/a~9999~
 ~ ~INVALID~n/a~n/a~9999~
 ~ ~INVALID~n/a~n/a~9999~
 ~ ~INVALID~n/a~n/a~9999~
 ~ ~INVALID~n/a~n/a~9999~
 ~ ~INVALID~n/a~n/a~9999~
 ~ ~INVALID~n/a~n/a~9999~
 ~ ~INVALID~n/a~n/a~9999~
 ~ ~INVALID~n/a~n/a~9999~
 ~ ~INVALID~n/a~n/a~9999~
 ~ ~INVALID~n/a~n/a~9999~
 ~ ~INVALID~n/a~n/a~9999~
 ~ ~INVALID~n/a~n/a~9999~
 ~ ~INVALID~n/a~n/a~9999~
 ~ ~INVALID~n/a~n/a~9999~
 ~ ~INVALID~n/a~n/a~9999~
 ~ ~INVALID~n/a~n/a~9999~
 ~ ~INVALID~n/a~n/a~9999~
 ~ ~INVALID~n/a~n/a~9999~
 ~ ~INVALID~n/a~n/a~9999~
 ~ ~INVALID~n/a~n/a~9999~
 ~ ~INVALID~n/a~n/a~9999~
 ~ ~INVALID~n/a~n/a~9999~
 ~ ~INVALID~n/a~n/a~9999~
 ~ ~INVALID~n/a~n/a~9999~
 ~ ~INVALID~n/a~n/a~9999~
 ~ ~INVALID~n/a~n/a~9999~
 ~ ~INVALID~n/a~n/a~9999~
 ~ ~INVALID~n/a~n/a~9999~
 ~ ~INVALID~n/a~n/a~9999~
 ~ ~INVALID~n/a~n/a~9999~
 ~ ~INVALID~n/a~n/a~9999~
 ~ ~INVALID~n/a~n/a~9999~
 ~ ~INVALID~n/a~n/a~9999~
 ~ ~INVALID~n/a~n/a~9999~
 ~ ~INVALID~n/a~n/a~9999~
 ~ ~INVALID~n/a~n/a~9999~
 ~ ~INVALID~n/a~n/a~9999~
 ~ ~INVALID~n/a~n/a~9999~
 ~ ~INVALID~n/a~n/a~9999~
 ~ ~INVALID~n/a~n/a~9999~
 ~ ~INVALID~n/a~n/a~9999~
 ~ ~INVALID~n/a~n/a~9999~
 ~ ~INVALID~n/a~n/a~9999~
 ~ ~INVALID~n/a~n/a~9999~
 ~ ~INVALID~n/a~n/a~9999~
 ~ ~INVALID~n/a~n/a~9999~
 ~ ~INVALID~n/a~n/a~9999~
 ~ ~INVALID~n/a~n/a~9999~
 ~ ~INVALID~n/a~n/a~9999~
 ~ ~INVALID~n/a~n/a~9999~
 ~ ~INVALID~n/a~n/a~9999~
 ~ ~INVALID~n/a~n/a~9999~
 ~ ~INVALID~n/a~n/a~9999~
 ~ ~INVALID~n/a~n/a~9999~
 ~ ~INVALID~n/a~n/a~9999~
 ~ ~INVALID~n/a~n/a~9999~
 ~ ~INVALID~n/a~n/a~9999~
 ~ ~INVALID~n/a~n/a~9999~
 ~ ~INVALID~n/a~n/a~9999~
 ~ ~INVALID~n/a~n/a~9999~
 ~ ~INVALID~n/a~n/a~9999~
 ~ ~INVALID~n/a~n/a~9999~
 ~ ~INVALID~n/a~n/a~9999~
 ~ ~INVALID~n/a~n/a~9999~
 ~ ~INVALID~n/a~n/a~9999~
