"Name"~"pMessage"~"ZoneRUN"~"GoTimer"~"pGoFlag"~"StopZoneOutput"~"StopAction"~"StopBit"~"pStopFlag"~"HornRecord"~"pStatus"
!batches!~ ~INVALID~N/A~0~INVALID~NONE~0~0~N/A~0~
 ~ ~INVALID~N/A~0~INVALID~NONE~0~0~N/A~0~
 ~ ~INVALID~N/A~0~INVALID~NONE~0~0~N/A~0~
 ~ ~INVALID~N/A~0~INVALID~NONE~0~0~N/A~0~
 ~ ~INVALID~N/A~0~INVALID~NONE~0~0~N/A~0~
 ~ ~INVALID~N/A~0~INVALID~NONE~0~0~N/A~0~
 ~ ~INVALID~N/A~0~INVALID~NONE~0~0~N/A~0~
 ~ ~INVALID~N/A~0~INVALID~NONE~0~0~N/A~0~
 ~ ~INVALID~N/A~0~INVALID~NONE~0~0~N/A~0~
 ~ ~INVALID~N/A~0~INVALID~NONE~0~0~N/A~0~
 ~ ~INVALID~N/A~0~INVALID~NONE~0~0~N/A~0~
 ~ ~INVALID~N/A~0~INVALID~NONE~0~0~N/A~0~
 ~ ~INVALID~N/A~0~INVALID~NONE~0~0~N/A~0~
 ~ ~INVALID~N/A~0~INVALID~NONE~0~0~N/A~0~
 ~ ~INVALID~N/A~0~INVALID~NONE~0~0~N/A~0~
 ~ ~INVALID~N/A~0~INVALID~NONE~0~0~N/A~0~
 ~ ~INVALID~N/A~0~INVALID~NONE~0~0~N/A~0~
 ~ ~INVALID~N/A~0~INVALID~NONE~0~0~N/A~0~
 ~ ~INVALID~N/A~0~INVALID~NONE~0~0~N/A~0~
 ~ ~INVALID~N/A~0~INVALID~NONE~0~0~N/A~0~


