"Shifter"~"Data"~"Divert Normal"~"Divert Missing"~"Divert Not Expected"~"End Missing"~"End Not Expected"~"Gap Abort"~"Index"~"Menu"~"OutpointIndx"~"SrtZoneIndx"
Invalid~ ~0~0~0~0~0~0~0~None~0~0~
SHIP SORTER~ ~5~0~0~0~0~0~52~SrtTrack1~7~0~
SHIP SORTER~ ~5~0~0~0~0~0~53~SrtTrack1~7~0~
SHIP SORTER~ ~1~0~0~0~0~0~55~SrtTrack1~2~0~
SHIP SORTER~ ~3~0~0~0~0~0~58~SrtTrack1~5~0~
SHIP SORTER~ ~5~0~0~0~0~0~59~SrtTrack1~7~0~
SHIP SORTER~ ~17~0~0~0~0~0~56~SrtTrack1~19~0~
SHIP SORTER~ ~17~0~0~0~0~0~57~SrtTrack1~19~0~
SHIP SORTER~ ~5~0~0~0~0~0~61~SrtTrack1~7~0~
SHIP SORTER~ ~17~0~0~0~0~0~62~SrtTrack1~19~0~
SHIP SORTER~ ~17~0~0~0~0~0~63~SrtTrack1~19~0~
SHIP SORTER~ ~17~0~0~0~0~0~64~SrtTrack1~19~0~
SHIP SORTER~ ~7~0~0~0~0~0~65~SrtTrack1~9~0~
SHIP SORTER~ ~5~0~0~0~0~0~67~SrtTrack1~7~0~
SHIP SORTER~ ~17~0~0~0~0~0~68~SrtTrack1~19~0~
SHIP SORTER~ ~17~0~0~0~0~0~71~SrtTrack1~19~0~
SHIP SORTER~ ~3~0~0~0~0~0~72~SrtTrack1~5~0~
SHIP SORTER~ ~3~0~0~0~0~0~73~SrtTrack1~5~0~
SHIP SORTER~ ~3~0~0~0~0~0~74~SrtTrack1~5~0~
SHIP SORTER~ ~3~0~0~0~0~0~75~SrtTrack1~5~0~
SHIP SORTER~ ~5~0~0~0~0~0~76~SrtTrack1~7~0~
SHIP SORTER~ ~5~0~0~0~0~0~77~SrtTrack1~7~0~
SHIP SORTER~ ~3~0~0~0~0~0~78~SrtTrack1~5~0~
SHIP SORTER~ ~5~0~0~0~0~0~79~SrtTrack1~7~0~
SHIP SORTER~ ~5~0~0~0~0~0~81~SrtTrack1~7~0~
SHIP SORTER~ ~5~0~0~0~0~0~82~SrtTrack1~7~0~
SHIP SORTER~ ~5~0~0~0~0~0~83~SrtTrack1~7~0~
SHIP SORTER~ ~3~0~0~0~0~0~85~SrtTrack1~5~0~
