"Buffer Position"~"Index"~"Sorter"
0~0~Invalid~
0~-1~SHIP SCAN~
1~-1~SHIP SCAN~
2~-1~SHIP SCAN~
3~-1~SHIP SCAN~
4~-1~SHIP SCAN~
5~-1~SHIP SCAN~
6~-1~SHIP SCAN~
7~-1~SHIP SCAN~
8~-1~SHIP SCAN~
9~-1~SHIP SCAN~
10~-1~SHIP SCAN~
11~-1~SHIP SCAN~
12~-1~SHIP SCAN~
13~-1~SHIP SCAN~
14~-1~SHIP SCAN~
15~-1~SHIP SCAN~
16~-1~SHIP SCAN~
17~-1~SHIP SCAN~
18~-1~SHIP SCAN~
19~-1~SHIP SCAN~
20~-1~SHIP SCAN~
21~-1~SHIP SCAN~
22~-1~SHIP SCAN~
23~-1~SHIP SCAN~
24~-1~SHIP SCAN~
25~-1~SHIP SCAN~
26~-1~SHIP SCAN~
27~-1~SHIP SCAN~
28~-1~SHIP SCAN~
29~-1~SHIP SCAN~
30~-1~SHIP SCAN~
31~-1~SHIP SCAN~
32~-1~SHIP SCAN~
33~-1~SHIP SCAN~
34~-1~SHIP SCAN~
35~-1~SHIP SCAN~
36~-1~SHIP SCAN~
37~-1~SHIP SCAN~
38~-1~SHIP SCAN~
39~-1~SHIP SCAN~
40~-1~SHIP SCAN~
41~-1~SHIP SCAN~
42~-1~SHIP SCAN~
43~-1~SHIP SCAN~
44~-1~SHIP SCAN~
45~-1~SHIP SCAN~
46~-1~SHIP SCAN~
47~-1~SHIP SCAN~
48~-1~SHIP SCAN~
49~-1~SHIP SCAN~
50~-1~SHIP SCAN~
51~-1~SHIP SCAN~
52~-1~SHIP SCAN~
53~-1~SHIP SCAN~
54~-1~SHIP SCAN~
55~-1~SHIP SCAN~
56~-1~SHIP SCAN~
57~-1~SHIP SCAN~
58~-1~SHIP SCAN~
59~-1~SHIP SCAN~
60~-1~SHIP SCAN~
61~-1~SHIP SCAN~
62~-1~SHIP SCAN~
63~-1~SHIP SCAN~
64~-1~SHIP SCAN~
65~-1~SHIP SCAN~
66~-1~SHIP SCAN~
67~-1~SHIP SCAN~
68~-1~SHIP SCAN~
69~-1~SHIP SCAN~
70~-1~SHIP SCAN~
71~-1~SHIP SCAN~
72~-1~SHIP SCAN~
73~-1~SHIP SCAN~
74~-1~SHIP SCAN~
75~-1~SHIP SCAN~
76~-1~SHIP SCAN~
77~-1~SHIP SCAN~
78~-1~SHIP SCAN~
79~-1~SHIP SCAN~
80~-1~SHIP SCAN~
81~-1~SHIP SCAN~
82~-1~SHIP SCAN~
83~-1~SHIP SCAN~
84~-1~SHIP SCAN~
85~-1~SHIP SCAN~
86~-1~SHIP SCAN~
87~-1~SHIP SCAN~
88~-1~SHIP SCAN~
89~-1~SHIP SCAN~
90~-1~SHIP SCAN~
91~-1~SHIP SCAN~
92~-1~SHIP SCAN~
93~-1~SHIP SCAN~
94~-1~SHIP SCAN~
95~-1~SHIP SCAN~
96~-1~SHIP SCAN~
97~-1~SHIP SCAN~
98~-1~SHIP SCAN~
99~-1~SHIP SCAN~
100~-1~SHIP SCAN~
101~-1~SHIP SCAN~
102~-1~SHIP SCAN~
103~-1~SHIP SCAN~
104~-1~SHIP SCAN~
105~-1~SHIP SCAN~
106~-1~SHIP SCAN~
107~-1~SHIP SCAN~
108~-1~SHIP SCAN~
109~-1~SHIP SCAN~
110~-1~SHIP SCAN~
111~-1~SHIP SCAN~
112~-1~SHIP SCAN~
113~-1~SHIP SCAN~
114~-1~SHIP SCAN~
115~-1~SHIP SCAN~
116~-1~SHIP SCAN~
117~-1~SHIP SCAN~
118~-1~SHIP SCAN~
119~-1~SHIP SCAN~
120~-1~SHIP SCAN~
121~-1~SHIP SCAN~
122~-1~SHIP SCAN~
123~-1~SHIP SCAN~
124~-1~SHIP SCAN~
125~-1~SHIP SCAN~
126~-1~SHIP SCAN~
127~-1~SHIP SCAN~
128~-1~SHIP SCAN~
129~-1~SHIP SCAN~
130~-1~SHIP SCAN~
131~-1~SHIP SCAN~
132~-1~SHIP SCAN~
133~-1~SHIP SCAN~
134~-1~SHIP SCAN~
135~-1~SHIP SCAN~
136~-1~SHIP SCAN~
137~-1~SHIP SCAN~
138~-1~SHIP SCAN~
139~-1~SHIP SCAN~
140~-1~SHIP SCAN~
141~-1~SHIP SCAN~
142~-1~SHIP SCAN~
143~-1~SHIP SCAN~
144~-1~SHIP SCAN~
145~-1~SHIP SCAN~
146~-1~SHIP SCAN~
147~-1~SHIP SCAN~
148~-1~SHIP SCAN~
149~-1~SHIP SCAN~
150~-1~SHIP SCAN~
151~-1~SHIP SCAN~
152~-1~SHIP SCAN~
153~-1~SHIP SCAN~
154~-1~SHIP SCAN~
155~-1~SHIP SCAN~
156~-1~SHIP SCAN~
157~-1~SHIP SCAN~
158~-1~SHIP SCAN~
159~-1~SHIP SCAN~
160~-1~SHIP SCAN~
161~-1~SHIP SCAN~
162~-1~SHIP SCAN~
163~-1~SHIP SCAN~
164~-1~SHIP SCAN~
165~-1~SHIP SCAN~
