"Name"~"pMessage"~"GoTimer"~"pGoFlag"~"StopZoneOutput"~"StopAction"~"StopBit"~"pStopFlag"~"HornRecord"~"pStatus"
!batches!~ ~N/A~0~INVALID~NONE~0~0~N/A~0~
 ~ ~N/A~0~INVALID~NONE~0~0~N/A~0~
 ~ ~N/A~0~INVALID~NONE~0~0~N/A~0~
 ~ ~N/A~0~INVALID~NONE~0~0~N/A~0~
 ~ ~N/A~0~INVALID~NONE~0~0~N/A~0~
 ~ ~N/A~0~INVALID~NONE~0~0~N/A~0~
 ~ ~N/A~0~INVALID~NONE~0~0~N/A~0~
 ~ ~N/A~0~INVALID~NONE~0~0~N/A~0~
 ~ ~N/A~0~INVALID~NONE~0~0~N/A~0~
 ~ ~N/A~0~INVALID~NONE~0~0~N/A~0~
 ~ ~N/A~0~INVALID~NONE~0~0~N/A~0~
 ~ ~N/A~0~INVALID~NONE~0~0~N/A~0~
 ~ ~N/A~0~INVALID~NONE~0~0~N/A~0~
 ~ ~N/A~0~INVALID~NONE~0~0~N/A~0~
 ~ ~N/A~0~INVALID~NONE~0~0~N/A~0~
 ~ ~N/A~0~INVALID~NONE~0~0~N/A~0~
 ~ ~N/A~0~INVALID~NONE~0~0~N/A~0~
 ~ ~N/A~0~INVALID~NONE~0~0~N/A~0~
 ~ ~N/A~0~INVALID~NONE~0~0~N/A~0~
 ~ ~N/A~0~INVALID~NONE~0~0~N/A~0~


